27/05/2020,Direito Administrativo,1:45
27/05/2020,Direito Processual Penal,1:0
27/05/2020,Direito Constitucional,1:30
27/05/2020,Direito Penal,1:15
28/05/2020,Raciocínio Lógico,0:45
28/05/2020,Português,1:0
28/05/2020,Informática,1:0
28/05/2020,Português,1:0
28/05/2020,Legislação Especial,1:30
29/05/2020,Direito Penal,1:0
29/05/2020,Direito Processual Penal,1:0
29/05/2020,Direito Administrativo,1:30
29/05/2020,Direito Constitucional,1:30
30/05/2020,Raciocínio Lógico,0:45
30/05/2020,Informática,0:45
30/05/2020,Português,1:15
30/05/2020,Legislação Especial,1:0
30/05/2020,Português,1:15
31/05/2020,Direito Administrativo,1:30
31/05/2020,Direito Penal,1:0
31/05/2020,Direito Constitucional,1:30
31/05/2020,Direito Processual Penal,1:0
01/06/2020,Raciocínio Lógico,0:45
01/06/2020,Informática,1:0
01/06/2020,Legislação Especial,1:15
01/06/2020,Português,2:0
02/06/2020,Direito Penal,0:45
02/06/2020,Direito Administrativo,1:30
02/06/2020,Direito Processual Penal,1:0
02/06/2020,Direito Constitucional,1:45
03/06/2020,Raciocínio Lógico,0:45
03/06/2020,Informática,1:0
03/06/2020,Português,2:0
03/06/2020,Legislação Especial,1:15
04/06/2020,Direito Administrativo,1:45
04/06/2020,Direito Penal,0:45
04/06/2020,Direito Processual Penal,1:0
04/06/2020,Direito Constitucional,1:30
05/06/2020,Raciocínio Lógico,0:45
05/06/2020,Informática,1:0
05/06/2020,Português,2:0
05/06/2020,Legislação Especial,1:15
06/06/2020,Direito Administrativo,1:45
06/06/2020,Direito Penal,0:45
06/06/2020,Direito Processual Penal,1:0
06/06/2020,Direito Constitucional,1:30
07/06/2020,Raciocínio Lógico,1:0
07/06/2020,Informática,0:45
07/06/2020,Português,2:0
07/06/2020,Legislação Especial,1:15
08/06/2020,Direito Administrativo,1:30
08/06/2020,Direito Constitucional,1:30
09/06/2020,Raciocínio Lógico,1:0
09/06/2020,Informática,0:45
09/06/2020,Português,2:0
09/06/2020,Legislação Especial,1:15
09/06/2020,Direito Processual Penal,1:0
10/06/2020,Direito Administrativo,1:30
10/06/2020,Direito Processual Penal,1:45
10/06/2020,Direito Constitucional,1:45
10/06/2020,Direito Penal,2:0
11/06/2020,Raciocínio Lógico,1:0
11/06/2020,Informática,0:45
11/06/2020,Português,2:0
11/06/2020,Legislação Especial,0:45
12/06/2020,Direito Administrativo,1:30
12/06/2020,Direito Processual Penal,0:45
12/06/2020,Direito Constitucional,1:45
12/06/2020,Direito Penal,1:0
13/06/2020,Raciocínio Lógico,1:0
13/06/2020,Informática,0:45
13/06/2020,Português,2:0
13/06/2020,Legislação Especial,1:0
