,,Data,Matéria,Estimado,Concluido,Estudado,Next
,,,Língua Portuguesa,02:00,02:00,Revisar rapido + Questões UFPR Sintaxe + Concordância,"Terminar o resumo de verbo + Fazer o resumo de concordância (8 encontro, bloco2)"
,,,Noções de Legislação Penal Especial,01:15,01:00,"Anotar Adoção e guarda, Transporte,",Resumo das outras matérias (não necessariamente todas)
42,67,14/06/2020,Noções de Direito Administrativo,01:30,01:30,7. Controle e responsabilização da administração: controle administrativo; controle judicial; controle legislativo; responsabilidade civil do Estado.,PDF + 7. Controle e responsabilização da administração: controle administrativo; controle judicial; controle legislativo; 
,,,Noções de Direito Processual Penal,00:45,00:45,Mapa mental => Resumo,Mapa mental => Resumo
,,,Noções de Direito Constitucional,01:45,01:45,Fauth 27:00 + PDF,PDF ordem social
,,,Noções de Direito Penal,01:00,01:00,Revisar toda matéria em 30 minutos + 30 minutos de questões,Revisar crimes contra a pessoa em 30máx
,,,Noções de Legislação Penal Especial,00:45,00:45,Resumo das outras matérias (não necessariamente todas),Continuar resumo
41,68,15/06/2020,Raciocínio Lógico,01:00,01:00,Questões Matemática Vunesp,Exercícios Matemática (45 minutos)
,,,Informática,00:45,00:45,Estudar outlook,Exercícios (1hr informática)
,,,Língua Portuguesa,02:00,02:00,"Terminar o resumo de verbo + Fazer o resumo de concordância (8 encontro, bloco2)",Revisada em tudo + Exs UFPR
,,,Noções de Legislação Penal Especial,01:15,01:15,Resumo das outras matérias (não necessariamente todas),Resumo Drogas e Anti Crime + CTB
40,69,16/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
39,70,17/06/2020,Noções de Direito Administrativo,01:30,01:30,PDF + 7. Controle e responsabilização da administração: controle administrativo; controle judicial; controle legislativo; ,Responsabilidade civil do estado
,,,Noções de Direito Processual Penal,00:45,00:45,Mapa mental => Resumo,Mapa => Resumo de prisão cautelar
,,,Noções de Direito Constitucional,01:45,01:45,PDF ordem social,Revisar rapido + exercícios
,,,Noções de Direito Penal,01:00,01:00,Revisar crimes contra a pessoa em 30máx,Revisar contra o patrimonio + questões penal ongoin
38,71,18/06/2020,Noções de Direito Administrativo,01:30,,,
,,,Língua Portuguesa,02:00,,,
,,,Noções de Direito Processual Penal,00:45,,,
,,,Informática,00:45,,,
37,72,19/06/2020,Noções de Direito Constitucional,01:45,,,
,,,Raciocínio Lógico,00:45,,,
,,,Noções de Legislação Penal Especial,01:30,,,
,,,Noções de Direito Penal,01:00,,,
36,73,20/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
35,74,21/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
34,75,22/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
33,76,23/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
32,77,24/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
31,78,25/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
30,79,26/06/2020,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
29,80,27/06/2020,,,,,
28,81,28/06/2020,,,,,
27,82,29/06/2020,,,,,
26,83,30/06/2020,,,,,
25,84,01/07/2020,,,,,
24,85,02/07/2020,,,,,
23,86,03/07/2020,,,,,
22,87,04/07/2020,,,,,
21,88,05/07/2020,,,,,
20,89,06/07/2020,,,,,
19,90,07/07/2020,,,,,
18,91,08/07/2020,,,,,
17,92,09/07/2020,,,,,
16,93,10/07/2020,,,,,
15,94,11/07/2020,,,,,
14,95,12/07/2020,,,,,
13,96,13/07/2020,,,,,
12,97,14/07/2020,,,,,
11,98,15/07/2020,,,,,
10,99,16/07/2020,,,,,
9,100,17/07/2020,,,,,
8,101,18/07/2020,,,,,
7,102,19/07/2020,,,,,
6,103,20/07/2020,,,,,
5,104,21/07/2020,,,,,
4,105,22/07/2020,,,,,
3,106,23/07/2020,,,,,
2,107,24/07/2020,,,,,
1,108,25/07/2020,,,,,
